0.000,0.151,0.881
soil,bulkPermittivity,v1,vr,obs.density,est.density,wc.Topp,wc.Malicki,wc.MixModel,wc.Curioni
k1-1,4.1,0.038,0.019,1206.1,1221.2,0.06,0.08,0.06,0.05
k1-2,4.2,0.036,0.018,1244.9,1192.4,0.06,0.08,0.07,0.05
k2-1,5.0,0.129,0.067,1385.7,1331.4,0.08,0.10,0.09,0.07
k2-2,5.1,0.134,0.070,1326.5,1325.8,0.08,0.11,0.09,0.08
k3-1,5.3,0.175,0.093,1336.7,1361.6,0.09,0.11,0.10,0.08
k3-2,5.5,0.177,0.094,1316.3,1349.3,0.09,0.12,0.10,0.09
k3-3,6.0,0.179,0.095,1255.1,1306.5,0.10,0.13,0.12,0.09
k5-1,7.4,0.239,0.127,1122.4,1220.9,0.14,0.16,0.15,0.13
k6-1,10.2,0.350,0.194,1020.4,1159.0,0.19,0.21,0.21,0.19
k6-2,9.0,0.308,0.169,1234.7,1196.9,0.17,0.19,0.19,0.16
k7-1,11.4,0.388,0.217,1102.0,1128.7,0.22,0.23,0.24,0.22
k7-2,11.9,0.377,0.213,1163.3,1120.0,0.22,0.24,0.24,0.22
k7-3,11.1,0.349,0.195,1204.1,1125.1,0.21,0.23,0.23,0.21
k8-1,10.5,0.339,0.184,1167.3,1121.1,0.20,0.22,0.22,0.20
k8-2,10.2,0.325,0.177,1164.0,1129.8,0.19,0.21,0.21,0.19
k9-1,14.7,0.427,0.241,1104.6,1035.4,0.27,0.28,0.29,0.29
